CODIGO;NOM_ESTABLEC;COD_NOM;COD_REGION;DESC_REGION;COD_PROV;DESC_PROV;COD_COMUN;DESC_COMUNA;AREA;LONGITUD;LATITUD
4101001;VISTA HERMOSA;4101001_VISTA HERMOSA;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.249125;-29.931047
4101002;PRINCIPITO;4101002_PRINCIPITO;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.245844;-29.878464
4101004;COLORIN COLORADO;4101004_COLORIN COLORADO;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.223131;-29.915139
4101005;RICITOS DE ORO;4101005_RICITOS DE ORO;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.260953;-29.930478
4101006;VILLA ALEGRIA;4101006_VILLA ALEGRIA;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.237431;-29.878933
4101011;COLONIAL;4101011_COLONIAL;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.241028;-29.871625
4101012;MANITAS PEQUEÑAS;4101012_MANITAS PEQUEÑAS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.231695;-29.886727
4101013;LOS PAPAYITOS;4101013_LOS PAPAYITOS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.252233;-29.923167
4101014;LOS PASTORCITOS;4101014_LOS PASTORCITOS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;RURAL;-71.235103;-29.872343
4101018;LOS PELUSITAS DEL BRILLADOR;4101018_LOS PELUSITAS DEL BRILLADOR;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.22208;-29.880197
4101019;DIENTES DE LECHE;4101019_DIENTES DE LECHE;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.245727;-29.902457
4101020;LAS TORTUGUITAS;4101020_LAS TORTUGUITAS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.226522;-29.91085
4101029;CATITA DE ORO;4101029_CATITA DE ORO;4;COQUIMBO;41;ELQUI;4101;LA SERENA;RURAL;-71.119989;-29.843306
4101032;CHIQUITIN;4101032_CHIQUITIN;4;COQUIMBO;41;ELQUI;4101;LA SERENA;RURAL;-71.05605;-29.977581
4101033;CHISPITA DE ORO;4101033_CHISPITA DE ORO;4;COQUIMBO;41;ELQUI;4101;LA SERENA;RURAL;-71.036072;-30.007678
4101034;CARACOLITO;4101034_CARACOLITO;4;COQUIMBO;41;ELQUI;4101;LA SERENA;RURAL;-71.185683;-29.897367
4101041;CAPULLITO DE LOS LLANOS;4101041_CAPULLITO DE LOS LLANOS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.235781;-29.869064
4101045;LOS PEQUEÑOS CARRERITAS;4101045_LOS PEQUEÑOS CARRERITAS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.26375;-29.942419
4101046;ESTRELLITA DEL ORIENTE;4101046_ESTRELLITA DEL ORIENTE;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.246485;-29.907274
4101047;EL TRENCITO;4101047_EL TRENCITO;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.219875;-29.889306
4101049;LAS AÑAÑUCAS;4101049_LAS AÑAÑUCAS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;RURAL;-71.144031;-29.9441
4101050;TRANSMITIENDO CULTURA Y AMOR;4101050_TRANSMITIENDO CULTURA Y AMOR;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.233831;-29.881067
4101051;NUESTRO PEQUEÑO MUNDO;4101051_NUESTRO PEQUEÑO MUNDO;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.237517;-29.865439
4101056;LOS PAYASITOS;4101056_LOS PAYASITOS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.225964;-29.885583
4101057;EL ARRAYAN;4101057_EL ARRAYAN;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.243596;-29.87021
4101058;SAN IGNACIO;4101058_SAN IGNACIO;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.221181;-29.885394
4101060;LOS PECECITOS;4101060_LOS PECECITOS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;RURAL;-71.2704;-29.876547
4101061;SUYAI;4101061_SUYAI;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.233689;-29.882125
4101062;RAYITO DE LUZ Y ESPERANZA;4101062_RAYITO DE LUZ Y ESPERANZA;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.239867;-29.866142
4101063;INTERCULTURAL PUCARA;4101063_INTERCULTURAL PUCARA;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.243886;-29.865525
4101064;LOS PEQUEÑITOS DEL VALLE;4101064_LOS PEQUEÑITOS DEL VALLE;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.21165;-29.921153
4101065;CASTILLO DE MILAGROS;4101065_CASTILLO DE MILAGROS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.240817;-29.951664
4101067;ARCOIRIS DE SUEÑOS;4101067_ARCOIRIS DE SUEÑOS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.247575;-29.874414
4101068;ARBOLIRIS;4101068_ARBOLIRIS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.119272;-29.937381
4101069;EL HINOJITOS;4101069_EL HINOJITOS;4;COQUIMBO;41;ELQUI;4101;LA SERENA;RURAL;-71.056452;-29.977633
4101070;LA ARBOLEDA;4101070_LA ARBOLEDA;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.22833;-29.919303
4101071;PUJLLAY;4101071_PUJLLAY;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.238236;-29.871414
4101072;VALLE DE ENCUENTRO LA PAMPA;4101072_VALLE DE ENCUENTRO LA PAMPA;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.262524;-29.942367
4101073;MAX SCHMIDT;4101073_MAX SCHMIDT;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.24143;-29.939501
4101074;LA ACADEMIA;4101074_LA ACADEMIA;4;COQUIMBO;41;ELQUI;4101;LA SERENA;URBANO;-71.235606;-29.933815
4101075;LA ESTRELLA;4101075_LA ESTRELLA;4;COQUIMBO;41;ELQUI;4101;LA SERENA;RURAL;-71.109659;-30.035123
