Route_ID;Route_Name;SERVICE_NA;UN;OP_NOC;DIST;PO_MOD;SENTIDO;COD_USUARI;COD_TS;COD_SINSER;COD_SINRUT;COD_USUSEN;TIPO_SERV;FREC_PM;FREC_PT;PLAZAS_PM;PLAZAS_PT;SEL_PM;SEL_PT;SEN1;VALIDA
1360;410yI;INYECCION;6;;10.91342957;Sin Modificacion;I;410;B80y;B80c2;B80 C2 00I;410I;3;0;0;0;0;0;0;1;1
2754;120R;(M) LA CISTERNA - RENCA;6;;21.7358127;Sin Modificacion;R;120;B82;B82;B82 00R;120R;1;5;5;517;485;1;1;0;1
2762;120I;RENCA - (M) LA CISTERNA;6;;21.98103688;Sin Modificacion;I;120;B82;B82;B82 00I;120I;1;5;5;517;485;1;1;0;1
5320;119R;LO ESPEJO - MAPOCHO;3;SI;18.82865818;Sin Modificacion;R;119;319;T319;T319 00R;119R;1;6;5;588;490;1;1;0;1
5322;119I;MAPOCHO - LO ESPEJO;3;SI;19.49691554;Sin Modificacion;I;119;319;T319;T319 00I;119I;1;5;5;522;490;1;1;0;1
5901;126I;(M) MANUEL MONTT - LA HIGUERA;3;;15.20546754;Sin Modificacion;I;126;327;T327;T327 00I;126I;1;0;5;0;490;0;1;0;1
5902;126IPM;VARIANTE PUNTA MAÑANA;3;;15.42328129;Sin Modificacion;I;126;327;T327;T327 01I;126I;2;5;0;522;0;1;0;0;1
6147;301cI;(M) LA CISTERNA - ANGELMO;3;;8.32053028;Sin Modificacion;I;301c;301c;T301 C0;T301 C0 00I;301cI;1;0;15;0;1470;0;1;0;1
6148;301cR;ANGELMO - (M) LA CISTERNA;3;;7.758618317;Sin Modificacion;R;301c;301c;T301 C0;T301 C0 00R;301cR;1;0;8;0;784;0;1;0;1
6152;302eR;SAN RAMON - (M) LOS HEROES;3;;17.17753188;Sin Modificacion;R;302e;302e;T302 E0;T302 E0 00R;302eR;1;2;2;192;92;1;1;0;1
6156;322I;(M) BELLAVISTA DE LA FLORIDA - JARDIN ALTO;3;;7.513331513;Sin Modificacion;I;322;322;T322;T322 00I;322I;1;4;5;247;265;1;1;0;1
6159;301cIPM;VARIANTE PUNTA MAÑANA;3;;8.84075622;Sin Modificacion;I;301c;301c;T301 C0;T301 C0 01I;301cI;2;7;0;718;0;1;0;0;1
6160;301cI_fsa;VARIANTE FERIA;3;;8.910125438;Cambio Paradas;I;301c;301c;T301 C0;T301 C0 06I;301cI;5;0;0;0;0;0;0;0;1
6161;301cRPM;VARIANTE PUNTA MAÑANA;3;;8.112103283;Sin Modificacion;R;301c;301c;T301 C0;T301 C0 01R;301cR;2;14;0;1437;0;1;0;0;1
6162;301cR_fsa;VARIANTE FERIA;3;;8.380086824;Cambio Paradas;R;301c;301c;T301 C0;T301 C0 06R;301cR;5;0;0;0;0;0;0;0;1
6172;303eR;(M) SANTA ANA - QUILICURA;3;;16.73748967;Cambio Trazado;R;303e;303e;T303 E0;T303 E0 00R;303eR;1;5;3;522;294;1;1;0;1
6181;303eI;QUILICURA - (M) SANTA ANA;3;;15.46455504;Sin Modificacion;I;303e;303e;T303 E0;T303 E0 00I;303eI;1;5;3;522;294;1;1;0;1
6188;315eRPMPT;VARIANTE PUNTA MAÑANA PUNTA TARDE;3;;21.28305315;Sin Modificacion;R;315e;315e;T315 E0;T315 E0 02R;315eR;2;9;0;868;0;1;0;0;1
6239;E02R;DIEGO PORTALES - (M) LO OVALLE;3;;13.54403725;Sin Modificacion;R;E02;352;T352;T352 00R;E02R;1;6;5;588;490;1;1;0;1
6242;E02RPRN;VARIANTE PRENOCTURNA;3;;14.09505508;Sin Modificacion;R;E02;352;T352;T352 03R;E02R;2;0;0;0;0;0;0;0;1
6247;E02R_fsa;VARIANTE FERIA;3;;13.58954702;Sin Modificacion;R;E02;352;T352;T352 06R;E02R;5;0;0;0;0;0;0;0;1
6249;E02R_fdo;VARIANTE FERIA;3;;13.6025254;Sin Modificacion;R;E02;352;T352;T352 07R;E02R;5;0;0;0;0;0;0;0;1
6250;E02I;(M) LO OVALLE - DIEGO PORTALES;3;;14.95122041;Sin Modificacion;I;E02;352;T352;T352 00I;E02I;1;4;5;457;490;1;1;0;1
6251;E02IPRN;VARIANTE PRENOCTURNA;3;;14.92447094;Sin Modificacion;I;E02;352;T352;T352 03I;E02I;2;0;0;0;0;0;0;0;1
6252;E02I_fsa;VARIANTE FERIA;3;;14.75919029;Sin Modificacion;I;E02;352;T352;T352 06I;E02I;5;0;0;0;0;0;0;0;1
6268;H03IN;VARIANTE NOCTURNA;3;;13.03389919;Sin Modificacion;I;H03;333;T333;T333 03I;H03I;2;0;0;0;0;0;0;0;1
6269;H03RN;VARIANTE NOCTURNA;3;;11.92751583;Sin Modificacion;R;H03;333;T333;T333 03R;H03R;2;0;0;0;0;0;0;0;1
6272;H03I;(M) LO OVALLE - MALL PLAZA OESTE;3;;13.19693259;Sin Modificacion;I;H03;333;T333;T333 00I;H03I;1;5;5;308;323;1;1;0;1
6273;H03R;MALL PLAZA OESTE - (M) LO OVALLE;3;;11.40843584;Sin Modificacion;R;H03;333;T333;T333 00R;H03R;1;5;5;308;323;1;1;0;1
6278;H07R;(M) LO OVALLE - (M) ÑUBLE;3;;14.4739038;Sin Modificacion;R;H07;337;T337;T337 00R;H07R;1;5;4;522;441;1;1;0;1
6279;H08I;POBL. LAS TURBINAS - (M) LO OVALLE;3;;7.976729723;Sin Modificacion;I;H08;338;T338;T338 00I;H08I;1;5;4;384;337;1;1;0;1
6280;H08R;(M) LO OVALLE - POBL.  LAS TURBINAS;3;;7.95075047;Sin Modificacion;R;H08;338;T338;T338 00R;H08R;1;5;4;384;311;1;1;0;1
6282;H13R;POSTA CENTRAL - SANTA OLGA;3;;15.13499008;Sin Modificacion;R;H13;343;T343;T343 00R;H13R;1;0;5;0;490;0;1;0;1
6288;H07RPRN;VARIANTE PRENOCTURNA;3;;14.3108704;Sin Modificacion;R;H07;337;T337;T337 03R;H07R;2;0;0;0;0;0;0;0;1
6289;H08IPRN;VARIANTE PRENOCTURNA;3;;8.49580971;Sin Modificacion;I;H08;338;T338;T338 03I;H08I;2;0;0;0;0;0;0;0;1
6290;H08RPRN;VARIANTE PRENOCTURNA;3;;7.787717067;Sin Modificacion;R;H08;338;T338;T338 03R;H08R;2;0;0;0;0;0;0;0;1
6295;H13RPM_fmavi;VARIANTE FERIA;3;;16.65740221;Sin Modificacion;R;H13;343;T343;T343 09R;H13R;5;0;0;0;0;0;0;0;1
6296;H13R_cvd;VARIANTE CICLOVIA;3;;15.06338455;Sin Modificacion;R;H13;343;T343;T343 10R;H13R;6;0;0;0;0;0;0;0;1
6297;H13R_fmavi;VARIANTE FERIA;3;;15.81076657;Sin Modificacion;R;H13;343;T343;T343 07R;H13R;5;0;0;0;0;0;0;0;1
6298;H13R_fmisa;VARIANTE FERIA;3;;15.12170159;Sin Modificacion;R;H13;343;T343;T343 06R;H13R;5;0;0;0;0;0;0;0;1
6307;H13RPM_fmisa;VARIANTE FERIA;3;;15.96833722;Sin Modificacion;R;H13;343;T343;T343 08R;H13R;5;0;0;0;0;0;0;0;1
6313;I22IPRN;VARIANTE PRENOCTURNA;3;;5.046491162;Sin Modificacion;I;I22;369;T369;T369 03I;I22I;2;0;0;0;0;0;0;0;1
6314;I22RPRN;VARIANTE PRENOCTURNA;3;;5.334947424;Sin Modificacion;R;I22;369;T369;T369 03R;I22R;2;0;0;0;0;0;0;0;1
6320;I04eI;VILLA EL ABRAZO - (M) PLAZA MAIPU;3;;4.526443443;Sin Modificacion;I;I04e;374e;T374e;T374 E0 00I;I04eI;1;4;0;434;0;1;0;0;1
6324;I13R;(M) SAN ALBERTO HURTADO - VILLA LOS PRESIDENTES;3;;8.324139871;Sin Modificacion;R;I13;383;T383;T383 00R;I13R;1;5;5;496;324;1;1;0;1
6328;I20I;VALLE VERDE - MARTA OSSA RUIZ;3;;9.310670128;Sin Modificacion;I;I20;389;T389;T389 00I;I20I;1;4;5;457;490;1;1;0;1
6329;I20R;MARTA OSSA RUIZ - VALLE VERDE;3;;8.399885954;Sin Modificacion;R;I20;389;T389;T389 00R;I20R;1;4;5;457;490;1;1;0;1
6335;I03cI;VALLE VERDE - (M) SAN ALBERTO HURTADO;3;;9.219902249;Sin Modificacion;I;I03c;373c;T373c;T373 C0 00I;I03cI;1;5;0;245;0;1;0;0;1
6341;I03cI_fmavi;VARIANTE FERIA;3;;9.758481355;Sin Modificacion;I;I03c;373c;T373c;T373 C0 06I;I03cI;5;0;0;0;0;0;0;0;1
6342;I03cI_fmisa;VARIANTE FERIA;3;;8.815959358;Sin Modificacion;I;I03c;373c;T373c;T373 C0 07I;I03cI;5;0;0;0;0;0;0;0;1
