ID,AREA,Zona,Com,Comuna,xcoord,ycoord
103,837.75000,103.00000,13105,El Bosque,346043.18735,6285611.65208
104,998.81250,104.00000,13105,El Bosque,344798.10057,6286014.91602
106,286.25000,106.00000,13105,El Bosque,343242.17900,6285147.30253
115,857.43750,115.00000,13105,El Bosque,344156.98963,6286365.17408
116,853.93750,116.00000,13105,El Bosque,345416.38704,6285737.55058
194,597.93750,194.00000,13110,La Florida,353160.94375,6286094.23892
195,409.87500,195.00000,13110,La Florida,354211.05645,6286187.09599
208,657.31250,208.00000,13110,La Florida,350800.63315,6286045.66116
210,183.62500,210.00000,13110,La Florida,351597.95606,6285942.66525
233,508.00000,233.00000,13110,La Florida,352304.60149,6285945.00112
247,143.87500,247.00000,13111,La Granja,349675.46795,6286353.11006
248,623.50000,248.00000,13111,La Granja,348831.81901,6286213.98262
387,593.00000,387.00000,13119,Maipú,333410.21083,6287260.07484
391,844.00000,391.00000,13119,Maipú,335600.64092,6286381.15914
392,205.50000,392.00000,13119,Maipú,337652.37287,6288041.75909
418,371.25000,418.00000,13119,Maipú,334955.11927,6285005.95158
660,37.68750,660.00000,13131,San Ramón,348244.00873,6286406.37809
663,457.56250,663.00000,13131,San Ramón,347667.18772,6286133.98254
664,601.68750,664.00000,13131,San Ramón,346871.27187,6286264.97035
694,62.00000,694.00000,13201,Puente Alto,359595.10641,6284633.20050
695,412.00000,695.00000,13201,Puente Alto,356958.33475,6285786.82929
699,726.00000,699.00000,13201,Puente Alto,355302.61023,6286265.03488
767,839.25000,767.00000,13401,San Bernardo,342131.55887,6287289.79620
777,517.00000,777.00000,13401,San Bernardo,338326.59032,6284345.35212
778,153.50000,778.00000,13401,San Bernardo,340117.44914,6287355.19718
779,969.00000,779.00000,13401,San Bernardo,342150.70874,6285693.68596
812,152.00000,812.00000,13501,Melipilla,307813.74500,6281927.99115
851,635.25000,851.00000,13604,Padre Hurtado,332161.55467,6285611.14498
853,752.00000,853.00000,13604,Padre Hurtado,328497.33344,6284606.09539
854,236.00000,854.00000,13604,Padre Hurtado,324219.35364,6285964.39177
811,16.00000,811.00000,13501,Melipilla,280912.27226,6272774.43109
813,696.00000,813.00000,13501,Melipilla,291950.33434,6252103.42901
814,736.00000,814.00000,13501,Melipilla,288114.69308,6267529.58626
815,928.00000,815.00000,13501,Melipilla,305800.80606,6258163.17845
817,176.00000,817.00000,13501,Melipilla,291741.58967,6277288.28110
782,788.00000,782.00000,13401,San Bernardo,336061.43775,6270804.93397
786,472.00000,786.00000,13402,Buin,336416.82912,6266137.82295
790,641.00000,790.00000,13402,Buin,334704.14805,6263761.48671
791,852.00000,791.00000,13402,Buin,332412.77238,6258765.91541
794,35.00000,794.00000,13403,Calera de Tango,333523.81917,6275497.38706
796,202.50000,796.00000,13403,Calera de Tango,336980.34558,6275057.82728
797,750.25000,797.00000,13403,Calera de Tango,335429.21578,6278186.19660
798,512.50000,798.00000,13403,Calera de Tango,336089.96062,6276883.63516
799,380.93750,799.00000,13403,Calera de Tango,335928.55292,6277469.24286
800,702.50000,800.00000,13403,Calera de Tango,336517.69692,6282145.08505
801,425.50000,801.00000,13403,Calera de Tango,335913.26758,6280742.42368
802,412.00000,802.00000,13403,Calera de Tango,335804.99370,6279390.98130
803,268.50000,803.00000,13403,Calera de Tango,333808.81065,6282060.46597
832,362.75000,832.00000,13602,El Monte,310701.12448,6270417.23925
834,928.00000,834.00000,13602,El Monte,308182.77374,6273617.67311
835,656.00000,835.00000,13602,El Monte,308349.92767,6268932.47255
844,760.00000,844.00000,13603,Isla de Maipúo,309918.69784,6264757.80228
804,23.65625,804.00000,13501,Melipilla,295619.14947,6270666.90819
806,698.00000,806.00000,13501,Melipilla,294019.56560,6269519.37329
807,821.00000,807.00000,13501,Melipilla,294946.64893,6269218.87061
809,279.00000,809.00000,13501,Melipilla,297129.31788,6269962.17541
810,718.50000,810.00000,13501,Melipilla,292611.59098,6270050.03782
816,432.00000,816.00000,13501,Melipilla,300955.68042,6273485.27380
808,545.75000,808.00000,13501,Melipilla,295291.98149,6271399.80766
805,478.50000,805.00000,13501,Melipilla,293587.50305,6271116.66915
818,680.00000,818.00000,13601,Talagante,329519.71636,6271259.93648
820,350.00000,820.00000,13601,Talagante,319842.54821,6272073.13868
821,376.50000,821.00000,13601,Talagante,322393.40751,6274163.73771
824,988.50000,824.00000,13601,Talagante,322663.62725,6272365.30011
825,869.50000,825.00000,13601,Talagante,323412.95791,6275977.88497
826,703.00000,826.00000,13601,Talagante,323669.91989,6271493.38764
827,172.00000,827.00000,13601,Talagante,317878.63987,6269303.78534
830,481.25000,830.00000,13602,El Monte,316304.40475,6271673.13652
831,131.50000,831.00000,13602,El Monte,313311.94638,6270667.71713
833,715.50000,833.00000,13602,El Monte,314456.15176,6270169.27561
839,610.00000,839.00000,13603,Isla de Maipúo,323415.47822,6263729.86636
840,303.50000,840.00000,13603,Isla de Maipúo,323618.28484,6265631.13196
842,961.37500,842.00000,13603,Isla de Maipúo,323056.05375,6261967.64879
843,12.00000,843.00000,13603,Isla de Maipúo,326946.70663,6267072.34196
847,634.50000,847.00000,13603,Isla de Maipúo,322271.52609,6264485.53716
861,54.37500,861.00000,13605,Peñaflor,323398.22399,6279950.54031
864,868.00000,864.00000,13605,Peñaflor,321568.33788,6278562.81739
845,448.00000,845.00000,13603,Isla de Maipúo,318430.19059,6263419.13457
836,958.50000,836.00000,13602,El Monte,312574.24304,6268508.48475
837,236.00000,837.00000,13602,El Monte,315075.93265,6274754.89677
823,289.75000,823.00000,13601,Talagante,320775.06461,6275113.64978
829,539.75000,829.00000,13601,Talagante,319370.46220,6275093.43817
841,579.75000,841.00000,13603,Isla de Maipúo,324201.59356,6262964.64509
846,364.00000,846.00000,13603,Isla de Maipúo,327027.20615,6261953.37745
838,846.50000,838.00000,13603,Isla de Maipúo,327264.70203,6265030.22857
819,660.06250,819.00000,13601,Talagante,328551.34385,6270233.62158
793,430.50000,793.00000,13403,Calera de Tango,332418.55105,6279603.56323
795,796.00000,795.00000,13403,Calera de Tango,330275.33311,6276523.44171
859,970.50000,859.00000,13605,Peñaflor,326557.35216,6279319.91316
860,391.00000,860.00000,13605,Peñaflor,327996.87004,6280256.26223
863,498.37500,863.00000,13605,Peñaflor,327581.21851,6278811.97952
865,716.00000,865.00000,13605,Peñaflor,329092.79854,6279763.17151
822,669.50000,822.00000,13601,Talagante,325952.08062,6276702.59945
828,355.50000,828.00000,13601,Talagante,326560.64385,6275605.11955
862,481.43750,862.00000,13605,Peñaflor,326501.55890,6277476.27889
857,627.00000,857.00000,13605,Peñaflor,325829.13122,6280561.82160
866,764.50000,866.00000,13605,Peñaflor,326186.15691,6282080.34315
856,831.12500,856.00000,13605,Peñaflor,324184.21143,6280557.56034
858,81.12500,858.00000,13605,Peñaflor,324492.99231,6279493.12537
848,909.00000,848.00000,13604,Padre Hurtado,333030.47544,6284184.59931
